Origin,Destination,Capacity,Traveltime,Category
Metro_QatarUniversity,Metro_Legtaifiya,406,4.0,Red Line
Metro_Lusail,Metro_QatarUniversity,406,4.0,Red Line
Metro_AlBiddaConcourse,Metro_AlBiddaRedAndGreenPlatformNorthBound,225,2.0,Pedestrian Path
Metro_AlBiddaRedPlatformSouthBound,Metro_AlBiddaRedAndGreenPlatformSouthBound,225,0.5,Pedestrian Path
Metro_AlBiddaRedAndGreenPlatformSouthBound,Metro_AlBiddaRedPlatformSouthBound,225,0.5,Pedestrian Path
Metro_EducationCity,Metro_QatarNationalLibrary,203,2.0,Green Line
Metro_TheWhitePalace,Metro_AlBiddaGreenPlatformSouthBound,203,3.0,Green Line
Metro_EducationCity,Metro_AlRiffa,203,8.0,Green Line
Metro_AlShaqab,Metro_QatarNationalLibrary,203,3.0,Green Line
Metro_AlBiddaGreenPlatformSouthBound,Metro_AlBiddaRedAndGreenPlatformSouthBound,225,0.5,Pedestrian Path
Metro_AlBiddaRedAndGreenPlatformSouthBound,Metro_AlBiddaGreenPlatformSouthBound,225,0.5,Pedestrian Path
Metro_AlBiddaGreenPlatformNorthBound,Metro_AlBiddaRedAndGreenPlatformNorthBound,225,0.5,Pedestrian Path
Metro_RasBuFontas,Metro_FreeZone,324,3.0,Red Line
Metro_RasBuFontas,Metro_AlWakra,324,3.0,Red Line
Metro_FreeZone,Metro_RasBuFontas,324,3.0,Red Line
Metro_AlDohaAlJadeda,Metro_MsheirebRedAndGreenPlatformNorthBound,406,3.0,Red Line
Metro_AlMatarAlQadeem,Metro_UmmGhuwailina,406,2.0,Red Line
Metro_AlBiddaRedAndGreenPlatformNorthBound,Metro_AlBiddaGreenPlatformNorthBound,225,0.5,Pedestrian Path
Metro_AlBiddaRedPlatformNorthBound,Metro_AlBiddaRedAndGreenPlatformNorthBound,225,0.5,Pedestrian Path
Metro_HamadHospital,Metro_TheWhitePalace,203,2.0,Green Line
Metro_AlMessila,Metro_HamadHospital,203,3.0,Green Line
Metro_QatarNationalLibrary,Metro_AlShaqab,203,3.0,Green Line
Metro_AlWakra,Metro_RasBuFontas,324,3.0,Red Line
Metro_UmmGhuwailina,Metro_AlDohaAlJadeda,406,2.0,Red Line
Metro_AlBiddaRedAndGreenPlatformNorthBound,Metro_AlBiddaRedPlatformNorthBound,225,0.5,Pedestrian Path
Metro_FreeZone,Metro_OqbaIbnNafie,324,3.0,Red Line
Metro_AlMessila,Metro_AlRayyanAlQadeem,203,3.0,Green Line
Metro_TheWhitePalace,Metro_HamadHospital,203,2.0,Green Line
Metro_HamadHospital,Metro_AlMessila,203,3.0,Green Line
Metro_Katara,Metro_AlQassar,406,2.0,Red Line
Metro_OqbaIbnNafie,Metro_AlMatarAlQadeem,406,3.0,Red Line
Metro_DECC,Metro_AlQassar,406,4.0,Red Line
Metro_Corniche,Metro_WestBay,406,2.0,Red Line
Metro_WestBay,Metro_DECC,406,2.0,Red Line
Metro_MsheirebRedAndGreenPlatformNorthBound,Metro_AlBiddaRedPlatformNorthBound,406,2.0,Red Line
Metro_AlMatarAlQadeem,Metro_OqbaIbnNafie,406,3.0,Red Line
Metro_AlQassar,Metro_DECC,406,4.0,Red Line
Metro_AlBiddaRedPlatformSouthBound,Metro_MsheirebRedAndGreenPlatformSouthBound,406,3.0,Red Line
Metro_AlBiddaGreenPlatformSouthBound,Metro_MsheirebRedAndGreenPlatformSouthBound,203,2.0,Green Line
Metro_AlRayyanAlQadeem,Metro_AlMessila,203,3.0,Green Line
Metro_AlRayyanAlQadeem,Metro_AlShaqab,203,2.0,Green Line
Metro_HamadIntlAirportT1,Metro_OqbaIbnNafie,85,7.0,Red Line
Metro_AlRiffa,Metro_EducationCity,203,8.0,Green Line
Metro_Legtaifiya,Metro_Katara,406,2.0,Red Line
Metro_MsheirebRedAndGreenPlatformNorthBound,Metro_MsheirebGoldPlatformEastBound,150,2.0,Pedestrian Path
Metro_MsheirebGoldPlatformEastBound,Metro_MsheirebRedAndGreenPlatformNorthBound,150,2.0,Pedestrian Path
Metro_MsheirebRedAndGreenPlatformNorthBound,Metro_MsheirebGoldPlatformWestBound,150,2.0,Pedestrian Path
Metro_MsheirebGoldPlatformWestBound,Metro_MsheirebRedAndGreenPlatformNorthBound,150,2.0,Pedestrian Path
Metro_AlBiddaRedAndGreenPlatformSouthBound,Metro_AlBiddaConcourse,225,2.0,Pedestrian Path
Metro_Legtaifiya,Metro_QatarUniversity,406,4.0,Red Line
Metro_AlShaqab,Metro_AlRayyanAlQadeem,203,2.0,Green Line
Metro_MsheirebRedAndGreenPlatformSouthBound,Metro_AlMansoura,93,3.0,Green Line
Metro_MsheirebRedAndGreenPlatformNorthBound,Metro_AlBiddaGreenPlatformNorthBound,203,2.0,Green Line
Metro_AlBiddaGreenPlatformNorthBound,Metro_TheWhitePalace,203,3.0,Green Line
Metro_AlQassar,Metro_Katara,406,2.0,Red Line
Metro_Katara,Metro_Legtaifiya,406,2.0,Red Line
Metro_Joaan,Metro_AlSadd,203,2.0,Golden Line
Metro_AlWaabQLM,Metro_SportCity,203,3.0,Golden Line
Metro_AlMansoura,Metro_MsheirebRedAndGreenPlatformSouthBound,93,3.0,Green Line
Metro_QatarNationalLibrary,Metro_EducationCity,203,2.0,Green Line
Metro_OqbaIbnNafie,Metro_FreeZone,324,3.0,Red Line
Metro_WestBay,Metro_Corniche,406,2.0,Red Line
Metro_DECC,Metro_WestBay,406,2.0,Red Line
Metro_MsheirebRedAndGreenPlatformSouthBound,Metro_MsheirebConcourse,300,2.0,Pedestrian Path
Metro_MsheirebConcourse,Metro_MsheirebRedAndGreenPlatformSouthBound,300,2.0,Pedestrian Path
Metro_MsheirebConcourse,Metro_MsheirebRedAndGreenPlatformNorthBound,300,2.0,Pedestrian Path
Metro_MsheirebGoldPlatformEastBound,Metro_MsheirebConcourse,150,2.0,Pedestrian Path
Metro_MsheirebConcourse,Metro_MsheirebGoldPlatformEastBound,150,2.0,Pedestrian Path
Metro_MsheirebGoldPlatformWestBound,Metro_MsheirebConcourse,150,2.0,Pedestrian Path
Metro_MsheirebConcourse,Metro_MsheirebGoldPlatformWestBound,150,2.0,Pedestrian Path
Metro_MsheirebRedAndGreenPlatformSouthBound,Metro_MsheirebGoldPlatformEastBound,150,2.0,Pedestrian Path
Metro_MsheirebGoldPlatformEastBound,Metro_MsheirebRedAndGreenPlatformSouthBound,150,2.0,Pedestrian Path
Metro_MsheirebRedAndGreenPlatformSouthBound,Metro_MsheirebGoldPlatformWestBound,150,2.0,Pedestrian Path
Metro_AlDohaAlJadeda,Metro_UmmGhuwailina,406,2.0,Red Line
Metro_NationalMuseum,Metro_RasBuAbboud,203,3.0,Golden Line
Metro_OqbaIbnNafie,Metro_HamadIntlAirportT1,85,7.0,Red Line
Metro_SportCity,Metro_AlWaabQLM,203,3.0,Golden Line
Metro_AlSadd,Metro_BinMahmoud,203,2.0,Golden Line
Metro_SouqWaqif,Metro_NationalMuseum,203,2.0,Golden Line
Metro_AlAziziyah,Metro_SportCity,203,2.0,Golden Line
Metro_RasBuAbboud,Metro_NationalMuseum,203,3.0,Golden Line
Metro_AlBiddaRedPlatformNorthBound,Metro_Corniche,406,3.0,Red Line
Metro_SouqWaqif,Metro_MsheirebGoldPlatformWestBound,203,2.0,Golden Line
Metro_NationalMuseum,Metro_SouqWaqif,203,2.0,Golden Line
Metro_SportCity,Metro_AlAziziyah,203,2.0,Golden Line
Metro_AlSudan,Metro_AlWaabQLM,203,3.0,Golden Line
Metro_Joaan,Metro_AlSudan,203,3.0,Golden Line
Metro_MsheirebGoldPlatformWestBound,Metro_BinMahmoud,203,2.0,Golden Line
Metro_MsheirebRedAndGreenPlatformSouthBound,Metro_AlDohaAlJadeda,406,3.0,Red Line
Metro_UmmGhuwailina,Metro_AlMatarAlQadeem,406,2.0,Red Line
Metro_AlSadd,Metro_Joaan,203,2.0,Golden Line
Metro_QatarUniversity,Metro_Lusail,406,4.0,Red Line
Metro_BinMahmoud,Metro_AlSadd,203,2.0,Golden Line
Metro_Corniche,Metro_AlBiddaRedPlatformSouthBound,406,3.0,Red Line
Metro_BinMahmoud,Metro_MsheirebGoldPlatformEastBound,203,2.0,Golden Line
Metro_MsheirebRedAndGreenPlatformNorthBound,Metro_MsheirebConcourse,300,2.0,Pedestrian Path
Metro_MsheirebGoldPlatformWestBound,Metro_MsheirebRedAndGreenPlatformSouthBound,150,2.0,Pedestrian Path
Metro_MsheirebGoldPlatformEastBound,Metro_SouqWaqif,203,2.0,Golden Line
Metro_AlWaabQLM,Metro_AlSudan,203,3.0,Golden Line
Metro_AlSudan,Metro_Joaan,203,3.0,Golden Line
Metro_AlBiddaConcourse,Metro_AlBiddaRedAndGreenPlatformSouthBound,225,2.0,Pedestrian Path
Metro_AlBiddaRedAndGreenPlatformNorthBound,Metro_AlBiddaConcourse,225,2.0,Pedestrian Path
